     0.000     1.000     2.000     2.000     1.000     2.000     2.000     1.000     1.000     2.000         *     2.000     2.000     2.000     1.000         *     2.000     1.000     2.000     2.000     2.000     1.000     1.000     2.000     1.000     2.000     2.000     2.000     1.000     1.000     2.000     1.000     1.000     2.000     2.000     2.000     1.000     2.000     1.000     2.000     2.000     2.000     3.000     1.000     3.000     1.000     3.000     4.000     2.000     0.000     1.000     2.000     3.000     3.000     3.000     2.000     3.000     6.000     0.000     3.000     4.000     2.000     4.000     5.000     4.000     4.000     3.000     1.000     1.000     3.000     2.000     2.000     2.000     0.000     3.000     5.000     0.000     3.000     4.000     1.000     4.000     3.000     1.000     2.000     3.000     0.000     1.000     1.000     1.000     2.000     1.000     2.000     3.000     3.000     3.000     3.000     2.000     3.000     3.000     2.000     3.000     2.000     1.000     4.000     0.000     1.000     1.000     0.000     0.000    11.000         *     2.000     0.000     4.000     4.000     4.000     4.000     3.000     4.000     2.000     3.000     5.000     5.000     1.000     4.000     4.000     4.000    51.000    -0.374     0.000         *     0.000     0.000   103.000    -0.029     3.000     4.000     6.000    10.000    14.000    16.000     0.139     0.433     0.354     0.440     0.286     0.411     0.214     0.361     0.057     0.374     0.300     0.392     0.554    27   2 267
     1.000     2.000     1.000     0.000     1.000     0.000     2.000     2.000     1.000     2.000     1.000     1.000     1.000         *     1.000     1.000     1.000     1.000     0.000     1.000     2.000     1.000     2.000     1.000     2.000     0.000     2.000     2.000     2.000     2.000     1.000     2.000     0.000     2.000     2.000     2.000     2.000     1.000     2.000     0.000     1.000     2.000     1.000     1.000     1.000     0.000     4.000     4.000     3.000     1.000     0.000     1.000     0.000     0.000     1.000     0.000     2.000     6.000     1.000     2.000     4.000     5.000     4.000     4.000     3.000     5.000     4.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     4.000     5.000     1.000     3.000     5.000     4.000     4.000     4.000     1.000     4.000     4.000     0.000     0.000     0.000     3.000     3.000     0.000     0.000     3.000     3.000     3.000     1.000     1.000     2.000     2.000     1.000     3.000     2.000     1.000         *         *     1.000         *         *     1.000         *         *         *     0.000     5.000     5.000     5.000         *         *     5.000     2.000     5.000         *         *     2.000     4.000     2.000     4.000    39.000    -1.951     0.000         *     0.000     0.000    94.000    -0.579     3.000     5.000     7.000    10.000    14.000    17.000    -0.771     0.404    -0.357     0.384    -0.600     0.360     0.095     0.353     0.289     0.382     0.134     0.368     0.633    28   9  28
     2.000     1.000     1.000     1.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     2.000     2.000     1.000     2.000     2.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000         *     2.000     2.000     2.000     2.000     2.000     2.000     3.000     1.000     4.000     3.000         *     4.000     3.000         *         *         *         *         *         *         *         *     5.000     0.000         *     4.000     0.000     4.000     4.000     4.000     4.000     2.000     3.000     0.000     3.000     3.000     3.000     2.000     3.000     3.000     3.000     0.000     3.000     4.000     2.000     5.000     2.000     2.000     1.000     1.000     1.000     1.000     1.000     1.000     2.000     0.000     0.000     3.000     3.000     3.000     3.000     3.000     3.000         *         *         *         *         *     1.000     1.000     1.000     1.000     0.000     1.000    14.000         *     4.000     0.000         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *     0.000         *     0.000     0.000   116.000     0.766     3.000     5.000     7.000    10.000    13.000    16.000     0.327     0.431     1.264     0.482     1.188     0.461     1.046     0.411     1.496     0.517     1.391     0.547     0.958    29   1  90
     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     2.000     2.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000         *         *         *         *         *         *         *     1.000     1.000     1.000     1.000     0.000     3.000     1.000     0.000     1.000     2.000     2.000     0.000     3.000     1.000     3.000     4.000     0.000     3.000     3.000     4.000     4.000     3.000     3.000     4.000     1.000     1.000     1.000     2.000     2.000     0.000     2.000     0.000     3.000     5.000     1.000     3.000     4.000     4.000     1.000     5.000     2.000     2.000     1.000     1.000     0.000     0.000     2.000     3.000     0.000     2.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     2.000     3.000     2.000     1.000     2.000     0.000     1.000         *         *     1.000    12.000         *     3.000     0.000     5.000     4.000     5.000     5.000     5.000     4.000     5.000     3.000     5.000     3.000     4.000     5.000     4.000     5.000    62.000     1.071     0.375     1.000     0.375     0.000   112.000     0.522     3.000     5.000     7.000    11.000    14.000    17.000     1.578     0.567     1.444     0.501     1.533     0.521     1.493     0.508     1.674     0.578     1.346     0.725     1.312    32   4 108
         *         *         *         *         *         *         *         *         *         *         *         *         *         *     2.000     1.000     0.000     0.000     2.000     1.000     2.000     1.000     1.000     2.000     2.000     1.000     2.000         *     1.000     2.000     2.000     0.000     2.000     2.000     2.000     1.000     1.000     1.000     1.000     1.000     0.000     2.000         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *     5.000     1.000         *     5.000     4.000     0.000     2.000     0.000     2.000     2.000     1.000         *         *         *         *     0.000     0.000     3.000     3.000     3.000     3.000     3.000     2.000     1.000         *         *         *     1.000         *         *     1.000     2.000     1.000     0.000         *     7.000     1.000     0.000     4.000     4.000     4.000     2.000         *     4.000     5.000     5.000     5.000     2.000         *     3.000         *     3.000    41.000    -1.688     0.000         *     0.000     0.000         *         *     3.000         *     7.000    11.000    14.000    16.000    -0.265     0.741    -0.268     0.642    -0.598     0.373    -0.106     0.372    -0.163     0.364    -0.671     0.364     0.205    33   3 155
     1.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     2.000     1.000     2.000     1.000     2.000     2.000     1.000     2.000     2.000     2.000     1.000     1.000     2.000     2.000     1.000     1.000     1.000     0.000     1.000     1.000     2.000     2.000     2.000     1.000     1.000     1.000     1.000         *         *         *         *         *         *         *     0.000     0.000     1.000     0.000     1.000     2.000     1.000     3.000     0.000     3.000     1.000     1.000     3.000     3.000     3.000     6.000     1.000     3.000     5.000     4.000     5.000     2.000     4.000     5.000     4.000     3.000     0.000     3.000     0.000     1.000     2.000     2.000     3.000     3.000     1.000     2.000     5.000     0.000     3.000     2.000     3.000     2.000     2.000     0.000     1.000     1.000     2.000     2.000     2.000     2.000     3.000     3.000     3.000     3.000     1.000     2.000     3.000     0.000     3.000     1.000     1.000     2.000     0.000     0.000     1.000     0.000     1.000    10.000         *     2.000     0.000     5.000     1.000     4.000     4.000     2.000     5.000     1.000     4.000     2.000     4.000     4.000     5.000     5.000     5.000    51.000    -0.374     1.500         *         *         *   116.000     0.766     3.000     5.000     7.000    11.000    14.000    17.000     0.846     0.484     0.338     0.401     0.206     0.372    -0.537     0.343    -0.266     0.354    -0.481     0.635     1.019    34   1 308
     2.000     1.000     2.000     1.000     2.000     2.000     2.000     1.000     1.000     2.000     1.000     2.000     2.000     1.000     1.000     1.000     1.000     2.000     2.000     2.000     1.000     1.000     1.000     2.000     1.000     1.000     1.000     0.000     2.000     1.000     1.000     0.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000     2.000     1.000     1.000     3.000     1.000     1.000     3.000     1.000     3.000     1.000     0.000     1.000     1.000     2.000     0.000     2.000     0.000     3.000     6.000     1.000     3.000     5.000     0.000     3.000     3.000     1.000     5.000     2.000     1.000     1.000     1.000     1.000     0.000     1.000     3.000     1.000     4.000     1.000     2.000     5.000     1.000     4.000     3.000     2.000     2.000     2.000     1.000     2.000     2.000     3.000     2.000     0.000     2.000     3.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     3.000     3.000     1.000     4.000     0.000     0.000     1.000     0.000     1.000    12.000         *     3.000     0.000     4.000     4.000     2.000     4.000     5.000     5.000     5.000     5.000     4.000     3.000     5.000     5.000     4.000     4.000    59.000     0.677     0.000         *     0.000     0.000   114.000     0.644     3.000     4.000     6.000    10.000    14.000    16.000     0.272     0.433    -0.229     0.374    -0.223     0.363    -0.882     0.331    -1.289     0.352    -0.865     0.357     1.010    37   1  80
     0.000     2.000     2.000     2.000     1.000     2.000     2.000     1.000     2.000     1.000     2.000     2.000     2.000     2.000     1.000         *     2.000     2.000         *     2.000     2.000     2.000     2.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     2.000     2.000     2.000     0.000     2.000     2.000     3.000     1.000     3.000     1.000     1.000     4.000     1.000     2.000     1.000     3.000     2.000     2.000     2.000     1.000     3.000     5.000     1.000     3.000     5.000     1.000     3.000     5.000     4.000     4.000     3.000     2.000     1.000     2.000     2.000     2.000     2.000     1.000     2.000     5.000     1.000     3.000     1.000     1.000     2.000     2.000     2.000     3.000     3.000     1.000     1.000     0.000     1.000     3.000     0.000     1.000     3.000     3.000     3.000     3.000     3.000     3.000         *         *         *         *         *     2.000     0.000     1.000         *         *     1.000    12.000         *     3.000     0.000     5.000     5.000     4.000     5.000     4.000         *     4.000     5.000     4.000     4.000     5.000     5.000     5.000     5.000    60.000     0.808     0.000         *     0.000     0.000   112.000     0.522     3.000     5.000     7.000    11.000    14.000    17.000     0.600     0.461     0.909     0.450     1.040     0.497     1.161     0.435     1.369     0.497     0.851     0.452     0.600    38   9  27
     2.000     2.000     1.000     1.000     1.000     1.000     2.000     1.000     2.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     2.000     2.000     1.000     1.000     1.000     1.000     0.000     1.000     2.000     2.000     2.000     2.000     1.000     0.000     1.000     2.000     2.000     2.000     2.000     2.000     1.000     1.000     2.000     4.000     1.000     4.000     3.000     2.000     4.000     4.000     3.000     1.000     3.000     2.000     2.000     2.000     3.000     3.000     4.000     1.000     0.000     5.000     0.000     0.000     3.000     3.000     3.000     3.000     1.000     1.000     2.000     2.000     2.000     3.000     2.000     3.000     2.000     1.000     2.000     4.000     0.000     1.000     4.000     3.000     4.000     3.000     1.000     3.000     3.000     4.000     3.000     1.000     3.000     3.000     3.000     3.000     3.000     3.000     2.000     3.000         *     3.000     3.000     1.000     0.000     1.000     1.000     2.000     1.000     1.000     6.000         *     1.000     1.000     4.000     4.000     3.000     2.000     3.000     4.000     4.000     5.000     5.000     2.000     4.000     2.000     2.000     1.000    45.000    -1.163     0.000         *     0.000     0.000    64.000    -2.413     3.000     5.000     7.000    10.000    14.000    17.000    -0.171     0.403    -0.535     0.359    -0.333     0.367    -0.529     0.336    -0.132     0.354     0.187     0.370     0.167    39   3 179
         *         *         *         *         *         *         *     0.000     0.000     1.000     1.000     0.000     0.000     1.000     0.000     0.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     2.000     1.000     1.000     1.000     1.000     0.000     0.000         *     0.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     2.000     2.000     2.000         *         *         *         *         *         *         *     3.000     2.000     3.000     3.000     2.000     3.000     2.000     3.000     4.000     1.000     3.000     5.000     1.000     4.000     1.000     2.000     2.000     2.000     1.000     1.000     2.000     1.000     2.000     3.000     1.000     1.000     3.000     1.000     3.000     3.000     1.000     2.000     0.000     0.000     1.000     1.000     1.000     2.000     1.000     1.000     3.000     0.000     1.000     3.000     3.000     3.000     2.000     2.000     1.000     1.000     2.000     3.000     2.000     1.000     2.000     0.000     0.000     3.000     1.000     0.000         *     6.000     1.000     0.000     4.000     5.000     3.000     3.000     4.000     5.000     5.000     5.000     5.000     4.000     5.000     5.000     5.000     5.000    63.000     1.202     0.000         *     0.000     0.000         *         *         *     5.000     7.000    11.000    14.000    17.000    -1.309     0.697    -1.720     0.381    -1.672     0.362    -1.007     0.331    -1.581     0.360    -0.465     0.372     0.179    40   3 291
