0 1 2 2 1 2 2 1 1 2 * 2 2 2 1 * 2 1 2 2 2 1 1 2 1 2 2 2 1 1 2 1 1 2 2 2 1 2 1 2 2 2 3 1 3 1 3 4 2 0 1 2 3 3 3 2 3 6 0 3 4 2 4 5 4 4 3 1 1 3 2 2 2 0 3 5 0 3 4 1 4 3 1 2 3 0 1 1 1 2 1 2 3 3 3 3 2 3 3 2 3 2 1 4 0 1 1 0 0 11 * 2 0 4 4 4 4 3 4 2 3 5 5 1 4 4 4 51 -0.374 0 * 0 0 103 -0.029 3 4 6 10 14 16 0.139 0.433 0.354 0.44 0.286 0.411 0.214 0.361 0.057 0.374 0.3 0.392 0.666 0.441 0.581 0.332 0.33 0.34 -0.474 0.424 0.658 0.618 0.652 0.671 0.161 0.627 0.554 27 2 267
1 2 1 0 1 0 2 2 1 2 1 1 1 * 1 1 1 1 0 1 2 1 2 1 2 0 2 2 2 2 1 2 0 2 2 2 2 1 2 0 1 2 1 1 1 0 4 4 3 1 0 1 0 0 1 0 2 6 1 2 4 5 4 4 3 5 4 1 0 1 1 1 1 1 4 5 1 3 5 4 4 4 1 4 4 0 0 0 3 3 0 0 3 3 3 1 1 2 2 1 3 2 1 * * 1 * * 1 * * * 0 5 5 5 * * 5 2 5 * * 2 4 2 4 39 -1.951 0 * 0 0 94 -0.579 3 5 7 10 14 17 -0.771 0.404 -0.357 0.384 -0.6 0.36 0.095 0.353 0.289 0.382 0.134 0.368 -0.432 0.442 -1.259 0.342 -1.43 0.349 -1.193 0.409 -0.432 0.481 -0.316 0.548 -0.367 0.626 0.633 28 9 28
2 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2 2 1 2 2 2 2 2 2 2 2 2 2 * 2 2 2 2 2 2 3 1 4 3 * 4 3 * * * * * * * * 5 0 * 4 0 4 4 4 4 2 3 0 3 3 3 2 3 3 3 0 3 4 2 5 2 2 1 1 1 1 1 1 2 0 0 3 3 3 3 3 3 * * * * * 1 1 1 1 0 1 14 * 4 0 * * * * * * * * * * * * * * * * 0 * 0 0 116 0.766 3 5 7 10 13 16 0.327 0.431 1.264 0.482 1.188 0.461 1.046 0.411 1.496 0.517 1.391 0.547 1.265 0.506 1.181 0.426 0.87 0.399 -0.327 0.424 0.848 0.708 0.684 0.781 0.144 0.966 0.958 29 1 90
2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 * * * * * * * 1 1 1 1 0 3 1 0 1 2 2 0 3 1 3 4 0 3 3 4 4 3 3 4 1 1 1 2 2 0 2 0 3 5 1 3 4 4 1 5 2 2 1 1 0 0 2 3 0 2 3 3 3 3 3 3 3 2 3 2 1 2 0 1 * * 1 12 * 3 0 5 4 5 5 5 4 5 3 5 3 4 5 4 5 62 1.071 0.375 1 0.375 0 112 0.522 3 5 7 11 14 17 1.578 0.567 1.444 0.501 1.533 0.521 1.493 0.508 1.674 0.578 1.346 0.725 -0.689 0.438 -0.521 0.329 -0.62 0.337 -1.327 0.417 1.192 0.707 1.144 0.746 0.195 0.63 1.312 32 4 108
* * * * * * * * * * * * * * 2 1 0 0 2 1 2 1 1 2 2 1 2 * 1 2 2 0 2 2 2 1 1 1 1 1 0 2 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 5 1 * 5 4 0 2 0 2 2 1 * * * * 0 0 3 3 3 3 3 2 1 * * * 1 * * 1 2 1 0 * 7 1 0 4 4 4 2 * 4 5 5 5 2 * 3 * 3 41 -1.688 0 * 0 0 * * 3 * 7 11 14 16 -0.265 0.741 -0.268 0.642 -0.598 0.373 -0.106 0.372 -0.163 0.364 -0.671 0.364 0.045 0.983 0.033 0.983 0.049 0.981 0.048 0.977 0.086 0.578 -0.24 0.663 0.022 0.966 0.205 33 3 155
1 2 2 2 2 2 2 1 2 1 2 1 2 2 1 2 2 2 1 1 2 2 1 1 1 0 1 1 2 2 2 1 1 1 1 * * * * * * * 0 0 1 0 1 2 1 3 0 3 1 1 3 3 3 6 1 3 5 4 5 2 4 5 4 3 0 3 0 1 2 2 3 3 1 2 5 0 3 2 3 2 2 0 1 1 2 2 2 2 3 3 3 3 1 2 3 0 3 1 1 2 0 0 1 0 1 10 * 2 0 5 1 4 4 2 5 1 4 2 4 4 5 5 5 51 -0.374 1.5 * * * 116 0.766 3 5 7 11 14 17 0.846 0.484 0.338 0.401 0.206 0.372 -0.537 0.343 -0.266 0.354 -0.481 0.635 -0.992 0.441 -0.368 0.332 -0.212 0.34 -0.45 0.424 0.077 0.543 0.261 0.611 -1.006 0.646 1.019 34 1 308
2 1 2 1 2 2 2 1 1 2 1 2 2 1 1 1 1 2 2 2 1 1 1 2 1 1 1 0 2 1 1 0 1 0 0 1 1 1 1 2 1 1 3 1 1 3 1 3 1 0 1 1 2 0 2 0 3 6 1 3 5 0 3 3 1 5 2 1 1 1 1 0 1 3 1 4 1 2 5 1 4 3 2 2 2 1 2 2 3 2 0 2 3 2 2 2 2 2 2 2 3 3 1 4 0 0 1 0 1 12 * 3 0 4 4 2 4 5 5 5 5 4 3 5 5 4 4 59 0.677 0 * 0 0 114 0.644 3 4 6 10 14 16 0.272 0.433 -0.229 0.374 -0.223 0.363 -0.882 0.331 -1.289 0.352 -0.865 0.357 -0.391 0.437 -0.892 0.33 -0.802 0.337 0.507 0.408 -0.815 0.439 -0.586 0.523 0.548 0.65 1.01 37 1 80
0 2 2 2 1 2 2 1 2 1 2 2 2 2 1 * 2 2 * 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 0 2 2 3 1 3 1 1 4 1 2 1 3 2 2 2 1 3 5 1 3 5 1 3 5 4 4 3 2 1 2 2 2 2 1 2 5 1 3 1 1 2 2 2 3 3 1 1 0 1 3 0 1 3 3 3 3 3 3 * * * * * 2 0 1 * * 1 12 * 3 0 5 5 4 5 4 * 4 5 4 4 5 5 5 5 60 0.808 0 * 0 0 112 0.522 3 5 7 11 14 17 0.6 0.461 0.909 0.45 1.04 0.497 1.161 0.435 1.369 0.497 0.851 0.452 0.3 0.438 0.231 0.328 -0.026 0.336 -0.985 0.407 0.985 0.726 0.87 0.793 0.107 0.967 0.6 38 9 27
2 2 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 0 1 2 2 2 2 1 0 1 2 2 2 2 2 1 1 2 4 1 4 3 2 4 4 3 1 3 2 2 2 3 3 4 1 0 5 0 0 3 3 3 3 1 1 2 2 2 3 2 3 2 1 2 4 0 1 4 3 4 3 1 3 3 4 3 1 3 3 3 3 3 3 2 3 * 3 3 1 0 1 1 2 1 1 6 * 1 1 4 4 3 2 3 4 4 5 5 2 4 2 2 1 45 -1.163 0 * 0 0 64 -2.413 3 5 7 10 14 17 -0.171 0.403 -0.535 0.359 -0.333 0.367 -0.529 0.336 -0.132 0.354 0.187 0.37 1.323 0.457 0.938 0.333 0.94 0.339 1.803 0.412 0.512 0.601 0.428 0.649 1.005 0.793 0.167 39 3 179
* * * * * * * 0 0 1 1 0 0 1 0 0 1 0 1 1 1 1 1 2 1 1 1 1 0 0 * 0 0 1 1 1 1 1 1 2 2 2 * * * * * * * 3 2 3 3 2 3 2 3 4 1 3 5 1 4 1 2 2 2 1 1 2 1 2 3 1 1 3 1 3 3 1 2 0 0 1 1 1 2 1 1 3 0 1 3 3 3 2 2 1 1 2 3 2 1 2 0 0 3 1 0 * 6 1 0 4 5 3 3 4 5 5 5 5 4 5 5 5 5 63 1.202 0 * 0 0 * * * 5 7 11 14 17 -1.309 0.697 -1.72 0.381 -1.672 0.362 -1.007 0.331 -1.581 0.36 -0.465 0.372 0.841 0.669 0.714 0.373 0.462 0.339 -0.046 0.404 -0.446 0.479 -0.479 0.54 0.02 0.624 0.179 40 3 291
